;0;1;2;3;4
0;Night of the Living Trekkies;Kevin David Anderson;3,91;3,519;613
1;Magyk (Septimus Heap, #1);Angie Sage;3,85;119,118;5,622
2;The Case of Charles Dexter Ward;H.P. Lovecraft;4,14;19,491;1,010
3;The Name of the Star (Shades of London, #1);Maureen Johnson;3,88;52,383;5,374
4;Cobra (Cobra, #1);Timothy Zahn;3,83;2,376;96
5;Greybeard;Brian W. Aldiss;3,54;1,952;184
6;Cujo;Stephen King;3,77;273,599;7,244
7;Dragon Blood (Hurog, #2);Patricia Briggs;4,13;9,453;387
8;Johnny and the Dead (Johnny Maxwell, #2);Terry Pratchett;3,81;10,066;357
9;Untimed (Rules of the Regulator, #1);Andy Gavin;3,89;697;215
10;Winter Rose (Winter Rose, #1);Patricia A. McKillip;3,85;7,332;458
11;The Grays;Whitley Strieber;3,52;1,496;147
12;The King in Yellow;Robert W. Chambers;3,55;17,204;1,988
13;Sum: Forty Tales from the Afterlives;David Eagleman;4,13;20,302;2,683
14;The Girl Who Could Fly (Piper McCloud, #1);Victoria Forester;4,09;16,219;2,351
15;Hero;Perry    Moore;3,86;18,139;1,606
16;Dragonlance Chronicles (Dragonlance, #1-3);Margaret Weis;4,24;20,930;562
17;The Treachery of Beautiful Things;Ruth Frances Long;3,81;5,636;705
18;Dragon Bones (Hurog, #1);Patricia Briggs;4,07;11,628;623
19;Corridor;Robin Parrish;3,99;313;57
20;"Making Money (Discworld, #36; Moist Von Lipwig, #2)";Terry Pratchett;4,25;69,244;2,333
21;The Light Who Shines (Bluebell Kildare, #1);Lilo Abernathy;4,00;880;166
22;When the Wind Blows (When the Wind Blows, #1);James Patterson;3,93;49,603;1,793
23;Consequences: Opal & Origin (Lux, #3-4);Jennifer L. Armentrout;4,61;4,797;402
24;The Ladies of Mandrigyn (Sun Wolf and Starhawk, No. 1);Barbara Hambly;3,96;3,257;161
25;Strange the Dreamer (Strange the Dreamer, #1);Laini Taylor;4,29;115,739;20,662
26;Sargasso of Space (Solar Queen, #1);Andre Norton;3,92;2,037;133
27;Shark & The Wolf: Predators and Prey;Daniel D. Shields;3,31;121;39
28;The Walls of Air (Darwath, #2);Barbara Hambly;4,06;3,222;76
29;Corpalism;Arun D. Ellis;3,35;299;106
30;Storm Siren (Storm Siren, #1);Mary  Weber;3,67;10,258;1,315
31;The Void Captain's Tale;Norman Spinrad;3,61;497;45
32;Robot Adept (Apprentice Adept, #5);Piers Anthony;3,79;6,566;48
33;The Ear, the Eye, and the Arm;Nancy Farmer;3,87;15,978;946
34;Changeling;Roger Zelazny;3,69;2,290;99
35;The Source of Magic (Xanth, #2);Piers Anthony;3,89;24,989;468
36;The Rhinoceros Who Quoted Nietzsche and Other Odd Acquaintances;Peter S. Beagle;4,10;404;41
37;The Little Mermaid;Hans Christian Andersen;3,98;26,539;1,682
38;Helliconia Spring (Helliconia, #1);Brian W. Aldiss;3,62;4,033;253
39;Keeper of Dreams: Short Fiction;Orson Scott Card;3,85;1,100;101
40;Arena One: Slaverunners (The Survival Trilogy, #1);Morgan Rice;3,37;6,467;754
41;The Enchanted Forest Chronicles (The Enchanted Forest Chronicles, #1-4);Patricia C. Wrede;4,49;10,472;459
42;Storm Born (Dark Swan, #1);Richelle Mead;3,89;32,341;1,641
43;The Last Policeman (Last Policeman, #1);Ben H. Winters;3,77;32,635;3,731
44;Nightfall and Other Stories;Isaac Asimov;4,26;13,565;301
45;Riddle-Master (Riddle-Master, #1-3);Patricia A. McKillip;4,22;10,811;606
46;AFTER LONG SILENCE;Sheri S. Tepper;3,94;918;56
47;The Lorax;Dr. Seuss;4,34;333,799;4,901
48;One Jump Ahead (Jon & Lobo, #1);Mark L. Van Name;3,82;970;79
49;Star Wars: The New Rebellion;Kristine Kathryn Rusch;3,46;6,617;118
50;Cachalot (Humanx Commonwealth, #8);Alan Dean Foster;3,68;1,318;52
51;The Man Who Was Thursday: A Nightmare;G.K. Chesterton;3,83;39,351;4,037
52;Paper Girls, Volume 1;Brian K. Vaughan;3,88;97,011;8,219
53;To Be Taught, If Fortunate;Becky  Chambers;4,21;38,919;6,344
54;Shaman's Crossing (Soldier Son, #1);Robin Hobb;3,50;23,017;1,083
55;Camber of Culdi (The Legends of Camber of Culdi, #1);Katherine Kurtz;3,91;5,457;142
56;Lord of the Fading Lands (Tairen Soul, #1);C.L. Wilson;3,99;22,094;1,849
57;The Misenchanted Sword (Ethshar, #1);Lawrence Watt-Evans;4,03;3,563;158
58;The Witches;Roald Dahl;4,17;383,686;9,957
59;Kiln People;David Brin;3,85;5,966;356
60;Super-Cannes;J.G. Ballard;3,70;4,561;289
61;The Armies of Daylight (Darwath, #3);Barbara Hambly;4,08;3,435;83
62;Men at Arms: The Play;Stephen Briggs;4,41;29,994;69
63;Spellbound (Grimnoir Chronicles, #2);Larry Correia;4,29;10,753;457
64;The Coming of Conan the Cimmerian (Conan the Cimmerian, #1);Robert E. Howard;4,16;13,329;708
65;Paingod and Other Delusions;Harlan Ellison;4,06;1,473;92
66;The Nonborn King (Saga of Pliocene Exile, #3);Julian  May;4,19;5,681;119
67;The Seeds of Time;John Wyndham;3,81;2,401;165
68;The Burning Sky (The Elemental Trilogy, #1);Sherry Thomas;3,91;19,294;2,285
69;The Boxes (Marco's Millions #2);William Sleator;3,80;877;71
70;Planet X;Michael Jan Friedman;3,37;1,296;169
71;Angel Station;Walter Jon Williams;3,69;848;39
72;The Eden Paradox (Eden Paradox, #1);Barry Kirwan;4,20;6,900;166
73;Reboot (Reboot, #1);Amy Tintera;3,89;32,817;3,772
74;For Darkness Shows the Stars (For Darkness Shows the Stars, #1);Diana Peterfreund;3,87;18,522;2,724
75;Powers That Be (Petaybee, #1);Anne McCaffrey;3,91;6,486;177
76;Mariposa;Greg Bear;3,50;547;60
77;Intervention (Intervention #1-2);Julian  May;4,26;3,180;102
78;The Time of the Dark (Darwath, #1);Barbara Hambly;3,98;5,353;248
79;14 (Threshold, #1);Peter Clines;3,96;35,808;4,035
80;Legacy of the Clockwork Key (The Secret Order, #1);Kristin Bailey;3,66;1,500;225
81;Robot Dreams (Robot, #0.4);Isaac Asimov;4,16;11,668;495
82;Survival Quest (The Way of the Shaman, #1);Vasily Mahanenko;4,18;9,593;545
83;Through Violet Eyes (Violet Eyes, #1);Stephen Woodworth;3,97;2,297;227
84;Light (Kefahuchi Tract, #1);M. John Harrison;3,60;5,798;666
85;Ink Exchange (Wicked Lovely, #2);Melissa Marr;3,69;61,901;3,141
86;For a Few Demons More (The Hollows, #5);Kim Harrison;4,32;57,763;1,497
87;The Good, the Bad, and the Undead (The Hollows, #2);Kim Harrison;4,25;65,507;2,118
88;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;4,01;201,513;4,320
89;Summer Knight (The Dresden Files, #4);Jim Butcher;4,27;146,626;5,347
90;Time and Again (Time, #1);Jack Finney;3,94;22,291;2,684
91;"Night Play (Dark-Hunter, #5; Were-Hunter, #1)";Sherrilyn Kenyon;4,34;53,720;1,733
92;Traveling with the Dead (James Asher, #2);Barbara Hambly;3,88;1,657;116
93;The Wild Shore (Three Californias Triptych, #1);Kim Stanley Robinson;3,74;3,707;310
94;Mid-Flinx (Pip & Flinx, #7);Alan Dean Foster;3,97;2,759;49
95;Pirate Latitudes;Michael Crichton;3,48;47,839;4,780
96;Rhapsody: Child of Blood (Symphony of Ages, #1);Elizabeth Haydon;3,97;19,640;635
97;Crosstalk;Connie Willis;3,55;11,976;2,424
98;A Woman of the Iron People;Eleanor Arnason;3,82;633;116
99;Harpist in the Wind (Riddle-Master, #3);Patricia A. McKillip;4,19;7,479;250
100;Peace;Gene Wolfe;4,10;2,330;259
101;The Chronicles of Amber: Volume II;Roger Zelazny;4,29;2,827;75
102;Omens (Cainsville, #1);Kelley Armstrong;4,07;20,702;2,235
103;California;Edan Lepucki;3,23;19,884;3,033
104;Smoke and Mirrors: Short Fiction and Illusions;Neil Gaiman;4,02;70,629;3,428
105;Standing in the Rainbow (Elmwood Springs, #2);Fannie Flagg;4,06;17,546;1,310
106;Some of Your Blood;Theodore Sturgeon;3,80;1,902;238
107;Pashazade (Arabesk, #1);Jon Courtenay Grimwood;3,83;1,232;87
108;The Gods Among Us (The Divine Masquerade, #1);D.C. Belton;3,78;50;34
109;Chronic City;Jonathan Lethem;3,54;8,827;1,170
110;Suldrun's Garden (Lyonesse, #1);Jack Vance;3,93;5,534;398
111;Code of Conduct (Jani Kilian Chronicles, #1);Kristine Smith;3,72;1,446;117
112;The Sunrise Lands (Emberverse, #4);S.M. Stirling;3,91;6,074;260
113;The Sword of the Lady (Emberverse, #6);S.M. Stirling;3,97;4,716;194
114;The Musashi Flex (Matador, #9);Steve Perry;4,24;768;31
115;Counting from Zero (Mick O'Malley #1);Alan B. Johnston;3,53;255;39
